,Solvent
6598,N#Cc1ccc(-n2c(-c3ccc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccc(C#N)c6ccccc56)c5ccccc45)c4ccccc34)nc3c4ccccc4c4ccccc4c32)c2ccccc12
6599,N#Cc1ccc(-n2c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)nc3c4ccccc4c4ccccc4c32)c2ccccc12
6600,N#Cc1ccc(-n2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)nc3c4ccccc4c4ccccc4c32)c2ccccc12
6623,CC1(C)c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2Oc2c(N3c4ccccc4Sc4ccccc43)cccc21
6628,CC1(C)c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2Oc2c(-n3c4ccccc4c4ccccc43)cccc21
6633,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccc2c1Oc1c(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cccc1C2(C)C
6654,O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2ccccc21
6655,O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4ccccc43)ccc21
6656,O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)ccc21
6657,O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4cc(-n5c6ccccc6c6cc(-n7c8ccccc8c8ccccc87)ccc65)ccc43)ccc21
6658,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1ccc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1
6681,O=c1c2ccccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12
6682,O=c1c2cc(-n3c4ccccc4c4ccccc43)ccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12
6683,O=C1c2ccccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21
6684,O=C1c2cc(-n3c4ccccc4c4ccccc43)ccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21
6709,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)c4nsnc34)cc2)cc1
6710,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c(cc(-c5ccc(N(c6ccc(C)cc6)c6ccc(C)cc6)cc5)c5nsnc54)c4nsnc34)cc2)cc1
6711,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3c4ccccc4c(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)c4nsnc34)cc2)cc1
6720,c1ccc(-n2c(-c3ccc(-c4c5ccccc5c(-c5cccc(-n6c7ccccc7c7ccccc76)c5)c5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6721,c1ccc(-n2c(-c3cccc(-c4c5ccccc5c(-c5cccc(-n6c7ccccc7c7ccccc76)c5)c5ccccc45)c3)nc3c4ccccc4c4ccccc4c32)cc1
6730,c1ccc2c(c1)Sc1ccc(-n3c4ccccc4c4ccccc43)cc1S2
6732,c1ccc2c(c1)Sc1ccccc1S2
6735,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1/C=C/c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1
6736,Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1/C=C/C(=C(c1ccccc1)c1ccccc1)c1ccccc1
6743,N#Cc1cc(C#N)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
6744,N#Cc1cc(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
6745,N#Cc1cc(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1
6748,c1cc(-n2c3ccccc3c3ccccc32)c(-c2nc3ccccn3n2)c(-n2c3ccccc3c3ccccc32)c1
6749,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2nc3ccccn3n2)cc(-n2c3ccccc3c3ccccc32)c1
6756,Cc1ccc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc1
6763,CC(C)(C)c1ccc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc1
6770,COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC
6778,CC(C)(C)c1ccc(-c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6779,CC(C)(C)c1ccc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6780,CC(C)(C)c1ccc(-c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C#N)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6781,CC(C)(C)c1ccc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(C#N)c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6782,CC(C)(C)c1ccc(-c2c(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c(C#N)c(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6783,CC(C)(C)c1ccc(-c2c(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c(C#N)c(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6784,CC(C)(C)c1ccc(-c2c(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)c(C#N)c(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1
6795,c1ccc(-n2c(-c3cccc4ccccc34)nc3c4ccccc4c4ccccc4c32)cc1
6796,c1ccc(-n2c(-c3cccc4ccccc34)nc3c4cccc5ccc6cccc(c6c54)c32)cc1
6809,O=S(=O)(c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1
6810,O=S(=O)(c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1)c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1
6829,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(-c5c(-c6ccccc6)nc6ccccn56)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6830,Cc1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)ccc1-c1ccc(-c2c(-c3ccccc3)nc3ccccn23)cc1
6831,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cccc(-c5c(-c6ccccc6)nc6ccccn56)c4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6918,O=S(=O)(c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1)c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1
6923,ClC=C(Cl)Cl
6932,c1ccc(-n2c(-c3ccc(-c4ccc(-c5ccc(-c6nc7c8ccccc8c8ccccc8c7n6-c6ccccc6)cc5)cc4)cc3)nc3ccccc32)cc1
6953,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2Sc2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21
6954,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4c(c3)C3(c5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)ccc5S4)c4ccccc4-c4ccccc43)cc2)cc1
6955,O=S1(=O)c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2C2(c3ccccc3-c3ccccc32)c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc21
6956,O=S1(=O)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2C2(c3ccccc3-c3ccccc32)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21
6962,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6963,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cc(-c5ccccc5)c5c6ccccc6c6ccccc6c5c4-c4ccccc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6964,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cc(-c5ccccc5)c5c(c4-c4ccccc4)-c4cccc6cccc-5c46)cc3)nc3c4ccccc4c4ccccc4c32)cc1
6983,c1ccc2c(c1)oc1nc3oc4ccc(-n5c6ccccc6c6ccccc65)cc4c3cc12
6984,c1ccc2c(c1)oc1nc3oc4ccc(-n5c6ccccc6c6cc(-n7c8ccccc8c8ccccc87)ccc65)cc4c3cc12
6985,CC(C)(C)c1ccc2oc3nc4oc5ccc(-n6c7ccccc7c7ccccc76)cc5c4cc3c2c1
6986,CC(C)(C)c1ccc2oc3nc4oc5ccc(-n6c7ccccc7c7cc(-n8c9ccccc9c9ccccc98)ccc76)cc5c4cc3c2c1
6987,CC(C)(C)c1ccc2oc3nc4oc5ccc(-n6c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)ccc76)cc5c4cc3c2c1
6988,CC(C)(C)c1ccc2oc3nc4oc5ccc(N6c7ccccc7Oc7ccccc76)cc5c4cc3c2c1
6989,CC(C)(C)c1ccc2oc3nc4oc5ccc(N6c7ccccc7Sc7ccccc76)cc5c4cc3c2c1
6990,CC(C)(C)c1ccc2oc3nc4oc5ccc(-n6c7ccccc7c(=O)c7ccccc76)cc5c4cc3c2c1
6991,CC(C)(C)c1ccc2oc3nc4oc5ccc(N(c6ccccc6)c6ccccc6)cc5c4cc3c2c1
6992,CC(C)(C)c1ccc2oc3nc4oc5cc(-n6c7ccccc7c7ccccc76)ccc5c4cc3c2c1
6993,CC(C)(C)c1ccc2c(c1)oc1nc3oc4ccc(-n5c6ccccc6c6ccccc65)cc4c3cc12
6994,CC(C)(C)c1cccc2c1oc1nc3oc4ccc(-n5c6ccccc6c6ccccc65)cc4c3cc12
6995,CC(C)(C)c1cccc2c1oc1nc3oc4cc(-n5c6ccccc6c6ccccc65)ccc4c3cc12
6996,FC(F)(F)c1ccc2oc3nc4oc5ccc(-n6c7ccccc7c7ccccc76)cc5c4cc3c2c1
6997,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2oc3nc4oc5ccc(C(F)(F)F)cc5c4cc3c2c1
6998,FC(F)(F)c1ccc2oc3nc4oc5ccc(N6c7ccccc7Oc7ccccc76)cc5c4cc3c2c1
6999,FC(F)(F)c1ccc2oc3nc4oc5ccc(N(c6ccccc6)c6ccccc6)cc5c4cc3c2c1
7000,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2oc3nc4oc5cc(C(F)(F)F)ccc5c4cc3c2c1
7012,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)nc2-n2c3ccccc3c3ccccc32)nn1
7013,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)nc3-n3c4ccccc4c4ccccc43)nn2)c(-n2c3ccccc3c3ccccc32)n1
7087,CCCCC(CC)CN1C(=O)c2cccc3c(C#Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(c23)C1=O
7093,CCCCC(CC)CN1C(=O)c2cccc3c(C#Cc4ccc(N(c5ccccc5)c5ccc(C#Cc6ccc7c8c(cccc68)C(=O)N(CC(CC)CCCC)C7=O)cc5)cc4)ccc(c23)C1=O
7099,CCCCC(CC)CN1C(=O)c2cccc3c(C#Cc4ccc(N(c5ccc(C#Cc6ccc7c8c(cccc68)C(=O)N(CC(CC)CCCC)C7=O)cc5)c5ccc(C#Cc6ccc7c8c(cccc68)C(=O)N(CC(CC)CCCC)C7=O)cc5)cc4)ccc(c23)C1=O
7106,c1ccc(N(c2ccccc2)c2ccc3ccc4c(N(c5ccccc5)c5ccccc5)ccc5ccc2c3c54)cc1
7107,Cc1ccccc1N(c1ccccc1C)c1ccc2ccc3c(N(c4ccccc4C)c4ccccc4C)ccc4ccc1c2c43
7108,Cc1ccccc1N(c1ccc(C(C)(C)C)cc1)c1ccc2ccc3c(N(c4ccc(C(C)(C)C)cc4)c4ccccc4C)ccc4ccc1c2c43
7109,Cc1ccc(N(c2cc(C(C)(C)C)ccc2C)c2ccc3ccc4c(N(c5ccc(C)cc5C)c5cc(C(C)(C)C)ccc5C)ccc5ccc2c3c54)c(C)c1
7123,c1ccc(C2CCN3COc4c5ccccc5c5c6c7c(c2c3c46)C(c2ccccc2)CCN7CO5)cc1
7160,CCCC(C)C
7246,N#CC1=CC=CC(C#N)=P1(c1ccccc1)c1ccccc1
7247,N#CC1=CC(C=O)=CC(C#N)=P1(c1ccccc1)c1ccccc1
7248,N#CC1=CC(Br)=CC(C#N)=P1(c1ccccc1)c1ccccc1
7249,N#CC1=CC(/C=C/c2ccccc2)=CC(C#N)=P1(c1ccccc1)c1ccccc1
7250,N#CC1=CC(C#Cc2ccccc2)=CC(C#N)=P1(c1ccccc1)c1ccccc1
7251,N#CC1=CC(c2ccccc2)=CC(C#N)=P1(c1ccccc1)c1ccccc1
7429,CN(C)c1ccc(C2=Nc3sc4ccccc4[n+]3[B-](F)(F)O2)cc1
7430,COc1ccc2c(c1)sc1[n+]2[B-](F)(F)OC(c2ccc(N(C)C)cc2)=N1
7431,CN(C)c1ccc(C2=Nc3sc4cc(F)ccc4[n+]3[B-](F)(F)O2)cc1
7432,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1
7433,CN(C)c1ccc(C2=Nc3sc4cc(C(F)(F)F)ccc4[n+]3[B-](F)(F)O2)cc1
7434,CN(C)c1ccc(C2=Nc3sc4c(F)c(F)c(F)c(F)c4[n+]3[B-](F)(F)O2)cc1
7534,N#CC(/N=C/c1ccccc1O)=C(C#N)/N=C/c1ccccc1O
7543,CCN(CC)c1ccc(/C=N/c2ccccc2/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1
7545,Oc1ccc2ccccc2c1/C=N/c1ccccc1/N=C/c1c(O)ccc2ccccc12
7547,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O
7552,CCN(CC)c1ccc(/C=N/CC/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1
7554,Oc1ccc2ccccc2c1/C=N/CC/N=C/c1c(O)ccc2ccccc12
7556,Oc1ccccc1/C=N/CC/N=C/c1ccccc1O
7560,CCN(CC)c1ccc(/C=N/C2CCCCC2/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1
7562,Oc1ccc2ccccc2c1/C=N/C1CCCCC1/N=C/c1c(O)ccc2ccccc12
7576,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc5c6c(cc(-c7ccc(-n8c9ccccc9c9ccccc98)cc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7577,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc5c6c(ccc(c7c(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7578,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc5c6c(cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7579,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc5c6c(ccc(c7c(-c8ccc(N(c9ccccc9)c9ccccc9)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7580,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)cc5c6c(cc(-c7ccc8c(c7)c7ccccc7n8-c7ccccc7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7581,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)cc5c6c(ccc(c7c(-c8ccc9c(c8)c8ccccc8n9-c8ccccc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7582,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc6c7ccccc7n(-c7ccccc7)c6c5)cc5c6c(cc(-c7ccc8c9ccccc9n(-c9ccccc9)c8c7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7583,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc6c7ccccc7n(-c7ccccc7)c6c5)cc5c6c(ccc(c7c(-c8ccc9c%10ccccc%10n(-c%10ccccc%10)c9c8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O
7936,CN(C)c1ccc(C2=Nc3scc[n+]3[B-](F)(F)O2)cc1
7937,Cc1csc2[n+]1[B-](F)(F)OC(c1ccc(N(C)C)cc1)=N2
7938,CCOC(=O)c1csc2[n+]1[B-](F)(F)OC(c1ccc(N(C)C)cc1)=N2
7939,CN(C)c1ccc(C2=Nc3scc(-c4ccccc4)[n+]3[B-](F)(F)O2)cc1
7940,CN(C)c1ccc(C2=Nc3scc(-c4ccc(N(C)C)cc4)[n+]3[B-](F)(F)O2)cc1
7941,CN(C)c1ccc(C2=Nc3scc(-c4ccc(C#N)cc4)[n+]3[B-](F)(F)O2)cc1
7942,CN(C)c1ccc(C2=Nc3scc(-c4ccc([N+](=O)[O-])cc4)[n+]3[B-](F)(F)O2)cc1
8111,C(#Cc1cnc(C#Cc2ccccc2)nc1)c1ccccc1
8112,C[Si](C)(C)C#Cc1ccc(C#Cc2cnc(C#Cc3ccccc3)nc2)cc1
8113,C#Cc1ccc(C#Cc2cnc(C#Cc3ccccc3)nc2)cc1
8120,COc1ccc(N(c2ccc(OC)cc2)c2ccc3ccc4c(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)ccc5ccc2c3c54)cc1
8127,COc1ccc(N(c2ccc(OC)cc2)c2cc3ccc4cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)cc5ccc(c2)c3c45)cc1
8211,O=Cc1ccc2c(c1)c1ccccc1n2-c1cc2ccccc2c2ccccc12
8212,C(#Cc1ccc2c(c1)c1cc(C#Cc3ccccc3)ccc1n2-c1cc2ccccc2c2ccccc12)c1ccccc1
8213,O=Cc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4cc(C=O)ccc43)cc2)cc1
8214,N#CC(C#N)=Cc1ccc2c(c1)c1ccccc1n2-c1cc2ccccc2c2ccccc12
8215,N#CC(C#N)=Cc1ccc2c(c1)c1ccccc1n2-c1cccc2ccccc12
8216,N#CC(C#N)=Cc1ccc2c(c1)c1cc(C=C(C#N)C#N)ccc1n2-c1cccc2ccccc12
8217,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=O)cc2)cc1
8218,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=C(C#N)C#N)cc2)cc1
8219,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C#Cc3ccc(C=C(C#N)C#N)cc3)cc2)cc1
8237,CC(=O)OC(C)=O
8586,O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccc5cccc6ccc3c4c56)c3cccc1c23
8591,O=C1OC(=O)c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)c3cccc1c23
8596,O=C1OC(=O)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)c3cccc1c23
8617,c1ccc2c(-c3ccc(-c4nnc(-c5ccc(-c6nnc(-c7ccc(-c8cccc9ccccc89)s7)o6)cc5)o4)s3)cccc2c1
8618,C=Cc1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(C=C)cc7)s6)o5)cc4)o3)s2)cc1
8619,COC(=O)c1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(C(=O)OC)cc7)s6)o5)cc4)o3)s2)cc1
8620,c1ccc2sc(-c3ccc(-c4nnc(-c5ccc(-c6nnc(-c7ccc(-c8cc9ccccc9s8)s7)o6)cc5)o4)s3)cc2c1
8621,c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34
8622,CCc1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(CC)cc7)s6)o5)cc4)o3)s2)cc1
8635,CC(=O)N(C)C
9104,CCCCCCCCCCCCCCCC
9105,CCCCCCCCCCCCCCCCCl
9259,CCCCn1c2ccccc2c2ccc3c4cc(-c5ccccc5)ccc4n(CCCC)c3c21
9260,CCCCn1c2ccccc2c2ccc3c4cc(-c5ccc6ccccc6c5)ccc4n(CCCC)c3c21
9261,CCCCn1c2ccccc2c2ccc3c4cc(-c5ccc(OC)cc5)ccc4n(CCCC)c3c21
9262,CCCCn1c2ccccc2c2ccc3c4cc(-c5cccc(F)c5)ccc4n(CCCC)c3c21
9263,CCCCn1c2ccccc2c2ccc3c4cc(-c5ccc(C(F)(F)F)cc5)ccc4n(CCCC)c3c21
9264,CCCCn1c2ccc(-c3ccccc3)cc2c2ccc3c4cc(-c5ccccc5)ccc4n(CCCC)c3c21
9265,CCCCn1c2ccc(-c3ccc4ccccc4c3)cc2c2ccc3c4cc(-c5ccc6ccccc6c5)ccc4n(CCCC)c3c21
9266,CCCCn1c2ccc(-c3ccc(OC)cc3)cc2c2ccc3c4cc(-c5ccc(OC)cc5)ccc4n(CCCC)c3c21
9267,CCCCn1c2ccc(-c3cccc(F)c3)cc2c2ccc3c4cc(-c5cccc(F)c5)ccc4n(CCCC)c3c21
9268,CCCCn1c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c2ccc3c4cc(-c5ccc(C(F)(F)F)cc5)ccc4n(CCCC)c3c21
9300,CCN(CC)c1ccc2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])c(=O)oc2c1
9728,N#Cc1c(C#N)c2ccccc2c2ccccc12
9729,N#Cc1c(C#N)c2cc(F)ccc2c2ccc(F)cc12
9730,N#Cc1c(C#N)c2cc(Cl)ccc2c2ccc(Cl)cc12
9731,N#Cc1c(C#N)c2cc(Cl)c(Cl)cc2c2cc(Cl)c(Cl)cc12
9732,N#Cc1c(C#N)c2cc(Br)ccc2c2ccc(Br)cc12
9733,Cc1ccc2c(c1)c(C#N)c(C#N)c1cc(C)ccc12
9734,COc1ccc2c(c1)c(C#N)c(C#N)c1cc(OC)ccc12
10035,C=CCOC(=O)C(C#N)=C1C=C(/C=C/c2ccc(N(C)C)cc2)OC(/C=C/c2ccc(N(C)C)cc2)=C1
10325,C1COCCN1
10337,O=CO
10681,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)nn5-c5ccccc5)s4)ccc(c23)C1=O
10682,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)nn5-c5ccccc5)s4)ccc(c23)C1=O
10683,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(Cl)cc6)nn5-c5ccccc5)s4)ccc(c23)C1=O
10684,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6cccc7ccccc67)nn5-c5ccccc5)s4)ccc(c23)C1=O
10685,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccccc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O
10686,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O
10687,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(Cl)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O
10688,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(OC)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O
11099,COc1cc(OC)cc(-c2ccc(C3=CC(c4ccccc4)=C(c4ccccc4)C3)cc2)c1
11100,COc1cc(OC)cc(C2=CC(c3ccccc3)=C(c3ccccc3)C2)c1
11101,COc1cc(C2=CC(c3ccccc3)=C(c3ccccc3)C2)cc(OC)c1OC
11102,COc1ccc2ccccc2c1C1=CC(c2ccccc2)=C(c2ccccc2)C1
11103,COc1ccc(C2=CC(c3ccccc3)=C(c3ccccc3)C2)c2ccccc12
11496,CCCCCCCCCCCC
11508,CCCCCCC(C)O
11675,CCCCCc1ccc(-c2ccc(C#N)cc2)cc1
11676,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1
11677,CCCCc1ccc(/N=C/c2ccc(OC)cc2)cc1
11777,F[B-]1(F)n2c(nc(-c3ccccc3)c2-c2ccccc2)-c2cccc[n+]21
11783,F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21
11810,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
11820,O=C(O)C(F)(F)F
11836,O=c1[nH]c2[n+](c3ccccc13)[B-](F)(F)Oc1ccccc1-2
11837,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2[nH]c(=O)c2ccccc21
11838,F[B-]1(F)Oc2ccccc2-c2nc(-c3ccccc3)c3ccccc3[n+]21
11839,F[B-]1(F)Oc2ccccc2-c2nc(-c3ccccc3)c3cc(Cl)ccc3[n+]21
11840,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2nc(-c2ccccc2)c2ccccc21
11841,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2nc(-c2ccccc2)c2cc(Cl)ccc21
12031,CCCCCCCCCCCCC
12032,CCCCCCCCCCCCCCC
12042,CCCCCCCCCO
12146,C[N+](=O)[O-]
12242,C1=C(c2ccccc2)C(c2ccccc2)C(c2ccccc2)=C1
