,Solvent
2480,CC(C)(C)c1cc(-n2c(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)cc3c2cc(-c2ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc2)n3-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1
2481,CC(C)(C)c1cc(-c2cc3c(cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)n3-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)n2-c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)cc(C(C)(C)C)c1
2502,c1ccc(-p2c3ccccc3c3sc4ccccc4c32)cc1
2503,[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21
2504,O=P1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21
2505,C[P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21
2506,O=S1(=O)c2ccccc2-c2c1c1ccccc1p2-c1ccccc1
2507,O=P1(c2ccccc2)C2=C(c3ccccc31)S(=O)(=O)c1ccccc12
2508,C[P+]1(c2ccccc2)C2=C(c3ccccc31)S(=O)(=O)c1ccccc12
2594,COc1ccccc1
2598,ClCCCl
2775,C[Si](C)(C)[Si](c1ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s1)([Si](C)(C)C)[Si](C)(C)C
2776,C[Si](C)(C)[Si](c1ccc(-c2ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s2)s1)([Si](C)(C)C)[Si](C)(C)C
2777,c1csc(-c2cccs2)c1
2778,C[Si](C)(C)[Si](c1ccc(-c2ccc(-c3ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s3)s2)s1)([Si](C)(C)C)[Si](C)(C)C
2779,c1csc(-c2ccc(-c3cccs3)s2)c1
2780,C[Si](C)(C)[Si](c1ccc(-c2ccc(-c3ccc(-c4ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s4)s3)s2)s1)([Si](C)(C)C)[Si](C)(C)C
2781,c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1
2782,C[Si](C)(C)[Si](c1cc2sc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)cc2s1)([Si](C)(C)C)[Si](C)(C)C
2783,c1cc2sccc2s1
2784,C[Si](C)(C)[Si](c1cc2sc3cc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)sc3c2s1)([Si](C)(C)C)[Si](C)(C)C
2785,c1cc2sc3ccsc3c2s1
2786,Brc1ccccc1
2787,O=C1CCCO1
2793,CN(C)P(=O)(N(C)C)N(C)C
2796,CN(C)C(=O)N(C)C
2842,CC(C)CO
2846,OC1CCCCC1
2847,CCCCCCCO
2849,CC(O)CO
2855,CCCCC
2856,CCC(C)CC
2859,CC(C)CC(C)(C)C
2860,CCCCCCCCC
2862,COCCOC
2865,CC1CCCO1
2870,Cc1ccccc1C
2902,CC(C)OC(C)C
3023,CCCCCCCCCCCCCC
3026,CCCCCCCCCCCO
3088,CC(C)(C)O
3518,O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2
3521,O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2
3524,O=c1c2cc(Cl)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2
3527,O=c1c2cc(Br)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2
3530,O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2
3734,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1
3738,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21
3742,O=S(=O)(c1cccc(-n2c3ccccc3c3ccccc32)c1)c1cccc(-n2c3ccccc3c3ccccc32)c1
3743,O=S(=O)(c1cccc(N2c3ccccc3Sc3ccccc32)c1)c1cccc(N2c3ccccc3Sc3ccccc32)c1
3744,O=S(=O)(c1cccc(N2c3ccccc3Oc3ccccc32)c1)c1cccc(N2c3ccccc3Oc3ccccc32)c1
3745,CC1(C)c2ccccc2N(c2cccc(S(=O)(=O)c3cccc(N4c5ccccc5C(C)(C)c5ccccc54)c3)c2)c2ccccc21
3866,CC(C)(C)c1ccc(/C=C/c2ccc(N(c3ccc(/C=C/c4ccc(C(C)(C)C)cc4)cc3)c3ccc(-c4nc5ccccc5nc4-c4ccc(N(c5ccc(/C=C/c6ccc(C(C)(C)C)cc6)cc5)c5ccc(/C=C/c6ccc(C(C)(C)C)cc6)cc5)cc4)cc3)cc2)cc1
3867,CCCCCCOc1ccc(/C=C/c2ccc(N(c3ccc(/C=C/c4ccc(OCCCCCC)cc4)cc3)c3ccc(-c4nc5ccccc5nc4-c4ccc(N(c5ccc(/C=C/c6ccc(OCCCCCC)cc6)cc5)c5ccc(/C=C/c6ccc(OCCCCCC)cc6)cc5)cc4)cc3)cc2)cc1
3868,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1
3869,C(=C/c1ccccn1)\c1ccc(N(c2ccc(/C=C/c3ccccn3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccccn5)cc4)c4ccc(/C=C/c5ccccn5)cc4)cc3)cc2)cc1
3875,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1
3876,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1
3877,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1
3878,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1
3879,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1
4127,CN(C)c1ccc2nc(-c3ccc(C(=O)O)cc3)sc2c1
4128,COC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1
4129,CN(C)c1ccc2nc(-c3ccc(C(=O)OC(C)(C)C)cc3)sc2c1
4130,CN(C)C(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1
4131,CN(C)c1ccc2nc(-c3ccc(C(=O)Nc4ccccc4)cc3)sc2c1
4132,CN(C)c1ccc2nc(-c3ccc(C(=O)OC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc4ccccc4)cc3)sc2c1
4178,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)c-3oc2c1
4179,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4ccccc4)c-3oc2c1
4180,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4cccc5ccccc45)c-3oc2c1
4181,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4c5ccccc5cc5ccccc45)c-3oc2c1
4563,S=C=S
4568,Clc1ccccc1Cl
4570,CCOC(=O)c1ccccc1
4573,O=C1CCCC1
4629,CN(c1ccccc1)c1c([O-])/c(=[N+](\C)c2ccccc2)c1=O
4630,O=c1c(N(c2ccccc2)c2ccccc2)c([O-])c1=[N+](c1ccccc1)c1ccccc1
4631,O=c1c(N(c2ccccc2)c2ccc3ccccc3c2)c([O-])/c1=[N+](\c1ccccc1)c1ccc2ccccc2c1
4632,Cc1ccc(N(c2ccc(C)cc2)c2c([O-])c(=[N+](c3ccc(C)cc3)c3ccc(C)cc3)c2=O)cc1
4633,COc1ccc(N(c2ccc(C)cc2)c2c([O-])/c(=[N+](\c3ccc(C)cc3)c3ccc(OC)cc3)c2=O)cc1
4693,CC(=O)O
4708,N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12
4794,CCC(C)C
4799,CCCCCOCCCCC
4801,CCCOCCC
5000,COC(=O)c1c(C(=O)OC)c2ccc(C)nn2c1C
5001,COC(=O)c1c(C(=O)OC)c2ccc(-c3ccccc3)nn2c1C
5002,CCc1c(C(=O)OC)c(C(=O)OC)c2ccc(-c3ccccc3)nn12
5003,CCOC(=O)c1cc(C)n2nc(-c3ccccc3)ccc12
5004,CCc1ccc2ccc(-c3ccccc3)nn12
5119,CN1CCCC1=O
5126,OCCOc1ccccc1
5142,Nc1ccccc1
5143,c1ccc2ncccc2c1
5145,OCc1ccccc1
5150,O=[N+]([O-])c1ccccc1
5246,CCCCCl
5293,CCCCCCCCCCCCO
5420,CC(C)(C)NC(=O)c1c([Si](C)(C)C)cc2ccc3cccc4ccc1c2c34
5421,CC[Si](C)(C)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34
5422,CC[Si](CC)(CC)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34
5423,CCC[Si](CCC)(CCC)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34
5424,CC(C)(C)N1C(=O)c2c(cc3ccc4cccc5ccc2c3c45)C1O
5425,CCOC(=O)C1(O)c2cc3ccc4cccc5ccc(c2C(=O)N1C(C)(C)C)c3c45
5426,CC(C)(C)n1c(=O)c2cc3ccc4cccc5ccc(c2c1=O)c3c45
5427,CC(C)(C)NC(=O)c1ccc2ccc3cccc4ccc1c2c34
